icd9	description
65821	delayed delivery after spontaneous or unspecified rupture of membranes delivered with or without mention of antepartum condition
65823	delayed delivery after spontaneous or unspecified rupture of membranes antepartum condition or complication
65830	delayed delivery after artificial rupture of membranes unspecified as to episode of care or not applicable
65831	delayed delivery after artificial rupture of membranes delivered with or without mention of antepartum condition
65833	delayed delivery after artificial rupture of membranes antepartum condition or complication
65840	infection of amniotic cavity unspecified as to episode of care or not applicable
65841	infection of amniotic cavity delivered with or without mention of antepartum condition
65843	infection of amniotic cavity antepartum condition or complication
65880	other problems associated with amniotic cavity and membranes unspecified as to episode of care or not applicable
65881	other problems associated with amniotic cavity and membranes delivered with or without mention of antepartum condition
65883	other problems associated with amniotic cavity and membranes antepartum
65890	unspecified problem associated with amniotic cavity and membranes unspecified as to episode of care or not applicable
65891	unspecified problem associated with amniotic cavity and membranes delivered with or without mention of antepartum condition
65893	unspecified problem associated with amniotic cavity and membranes antepartum condition or complication
65900	failed mechanical induction of labor unspecified as to episode of care or not applicable
65901	failed mechanical induction of labor delivered with or without mention of antepartum condition
65903	failed mechanical induction of labor antepartum condition or complication
65910	failed medical or unspecified induction of labor unspecified as to episode of care or not applicable
65911	failed medical or unspecified induction of labor delivered with or without mention of antepartum condition
65913	failed medical or unspecified induction of labor antepartum condition or complication
65920	maternal pyrexia during labor unspecified unspecified as to episode of care or not applicable
65921	maternal pyrexia during labor unspecified delivered with or without mention of antepartum condition
65923	maternal pyrexia during labor unspecified antepartum condition or complication
65930	generalized infection during labor unspecified as to episode of care or not applicable
65931	generalized infection during labor delivered with or without mention of antepartum condition
65933	generalized infection during labor antepartum condition or complication
65940	grand multiparity unspecified as to episode of care or not applicable
65941	grand multiparity delivered with or without mention of antepartum condition
65943	grand multiparity antepartum condition or complication
65950	elderly primigravida unspecified as to episode of care or not applicable
65951	elderly primigravida delivered with or without mention of antepartum condition
65953	elderly primigravida antepartum condition or complication
65960	elderly multigravida unspecified as to episode of care or not applicable
65961	elderly multigravida delivered with or without mention of antepartum condition
65963	elderly multigravida antepartum condition or complication
65970	abnormality in fetal heart rate or rhythm unspecified as to episode of care or not applicable
65971	abnormality in fetal heart rate or rhythm delivered with or without mention of antepartum condition
65973	abnormality in fetal heart rate or rhythm antepartum condition or complication
65980	other specified indications for care or intervention related to labor and delivery unspecified as to episode of care or not applicable
65981	other specified indications for care or intervention related to labor and delivery delivered with or without mention of antepartum condition
65983	other specified indications for care or intervention related to labor and delivery antepartum condition or complication
65990	unspecified indication for care or intervention related to labor and delivery unspecified as to episode of care or not applicable
65991	unspecified indication for care or intervention related to labor and delivery delivered with or without mention of antepartum condition
65993	unspecified indication for care or intervention related to labor and delivery antepartum condition or complication
66000	obstruction caused by malposition of fetus at onset of labor unspecified as to episode of care or not applicable
66001	obstruction caused by malposition of fetus at onset of labor delivered with or without mention of antepartum condition
66003	obstruction caused by malposition of fetus at onset of labor antepartum condition or complication
66010	obstruction by bony pelvis during labor unspecified as to episode of care or not applicable
66011	obstruction by bony pelvis during labor delivered with or without mention of antepartum condition
66013	obstruction by bony pelvis during labor antepartum condition or complication
66020	obstruction by abnormal pelvic soft tissues during labor unspecified as to episode of care or not applicable
66021	obstruction by abnormal pelvic soft tissues during labor delivered with or without mention of antepartum condition
66023	obstruction by abnormal pelvic soft tissues during labor antepartum condition or complication
66030	deep transverse arrest and persistent occipitoposterior position unspecified as to episode of care or not applicable
66031	deep transverse arrest and persistent occipitoposterior position delivered with or without mention of antepartum condition
66033	deep transverse arrest and persistent occipitoposterior position antepartum condition or complication
66040	shoulder girdle dystocia unspecified as to episode of care or not applicable
66041	shoulder girdle dystocia delivered with or without mention of antepartum condition
66043	shoulder girdle dystocia antepartum condition or complication
66050	locked twins unspecified as to episode of care or not applicable
66051	locked twins delivered with or without mention of antepartum condition
66053	locked twins antepartum condition or complication
66060	unspecified failed trial of labor unspecified as to episode of care or not applicable
66061	unspecified failed trial of labor delivered with or without mention of antepartum condition
66063	unspecified failed trial of labor antepartum condition or complication
66070	failed forceps or vacuum extractor unspecified unspecified as to episode of care or not applicable
66071	failed forceps or vacuum extractor unspecified delivered with or without mention of antepartum condition
66073	failed forceps or vacuum extractor unspecified antepartum condition or complication
66080	other causes of obstructed labor unspecified as to episode of care or not applicable
66081	other causes of obstructed labor delivered with or without mention of antepartum condition
66083	other causes of obstructed labor antepartum condition or complication
66090	unspecified obstructed labor unspecified as to episode of care or not applicable
66091	unspecified obstructed labor delivered with or without mention of antepartum condition
66093	unspecified obstructed labor antepartum condition or complication
66100	primary uterine inertia unspecified as to episode of care or not applicable
66101	primary uterine inertia delivered with or without mention of antepartum condition
66103	primary uterine inertia antepartum condition or complication
66110	secondary uterine inertia unspecified as to episode of care or not applicable
66111	secondary uterine inertia delivered with or without mention of antepartum condition
66113	secondary uterine inertia antepartum condition or complication
66120	other and unspecified uterine inertia unspecified as to episode of care or not applicable
66121	other and unspecified uterine inertia delivered with or without mention of antepartum condition
66123	other and unspecified uterine inertia antepartum condition or complication
66130	precipitate labor unspecified as to episode of care or not applicable
66131	precipitate labor delivered with or without mention of antepartum condition
66133	precipitate labor antepartum condition or complication
66140	hypertonic incoordinate or prolonged uterine contractions unspecified as to episode of care or not applicable
66141	hypertonic incoordinate or prolonged uterine contractions delivered with or without mention of antepartum condition
66143	hypertonic incoordinate or prolonged uterine contractions antepartum condition or complication
66190	unspecified abnormality of labor unspecified as to episode of care or not applicable
66191	unspecified abnormality of labor delivered with or without mention of antepartum condition
66193	unspecified abnormality of labor antepartum condition or complication
66200	prolonged first stage of labor unspecified as to episode of care or not applicable
66201	prolonged first stage of labor delivered with or without mention of antepartum condition
66203	prolonged first stage of labor antepartum condition or complication
66210	unspecified prolonged labor unspecified as to episode of care or not applicable
66211	unspecified prolonged labor delivered with or without mention of antepartum condition
66213	unspecified prolonged labor antepartum condition or complication
66220	prolonged second stage of labor unspecified as to episode of care or not applicable
66221	prolonged second stage of labor delivered with or without mention of antepartum condition
66223	prolonged second stage of labor antepartum condition or complication
66230	delayed delivery of second twin triplet etc unspecified as to episode of care or not applicable
66231	delayed delivery of second twin triplet etc delivered with or without mention of antepartum condition
66233	delayed delivery of second twin triplet etc antepartum condition or complication
66300	prolapse of cord complicating labor and delivery unspecified as to episode of care or not applicable
66301	prolapse of cord complicating labor and delivery delivered with or without mention of antepartum condition
66303	prolapse of cord complicating labor and delivery antepartum condition or complication
66310	cord around neck with compression complicating labor and delivery unspecified as to episode of care or not applicable
66311	cord around neck with compression complicating labor and delivery delivered with or without mention of antepartum condition
66313	cord around neck with compression complicating labor and delivery antepartum condition or complication
66320	other and unspecified cord entanglement with compression complicating labor and delivery unspecified as to episode of care or not applicable
66321	other and unspecified cord entanglement with compression complicating labor and delivery delivered with or without mention of antepartum condition
66323	other and unspecified cord entanglement with compression complicating labor and delivery antepartum condition or complication
66330	other and unspecified cord entanglement without mention of compression complicating labor and delivery unspecified as to episode of care or not applicable
66331	other and unspecified cord entanglement without mention of compression complicating labor and delivery delivered with or without mention of antepartum condition
66333	other and unspecified cord entanglement without mention of compression complicating labor and delivery antepartum condition or complication
66340	short cord complicating labor and delivery unspecified as to episode of care or not applicable
66341	short cord complicating labor and delivery delivered with or without mention of antepartum condition
66343	short cord complicating labor and delivery antepartum condition or complication
66350	vasa previa complicating labor and delivery unspecified as to episode of care or not applicable
66351	vasa previa complicating labor and delivery delivered with or without mention of antepartum condition
66353	vasa previa complicating labor and delivery antepartum condition or complication
66360	vascular lesions of cord complicating labor and delivery unspecified as to episode of care or not applicable
66361	vascular lesions of cord complicating labor and delivery delivered with or without mention of antepartum condition
66363	vascular lesions of cord complicating labor and delivery antepartum condition or complication
66380	other umbilical cord complications complicating labor and delivery unspecified as to episode of care or not applicable
66381	other umbilical cord complications complicating labor and delivery delivered with or without mention of antepartum condition
66383	other umbilical cord complications complicating labor and delivery antepartum condition or complication
66390	unspecified umbilical cord complication complicating labor and delivery unspecified as to episode of care or not applicable
66391	unspecified umbilical cord complication complicating labor and delivery delivered with or without mention of antepartum condition
66393	unspecified umbilical cord complication complicating labor and delivery antepartum condition or complication
66400	first degree perineal laceration unspecified as to episode of care or not applicable
66401	first degree perineal laceration delivered with or without mention of antepartum condition
66404	first degree perineal laceration postpartum condition or complication
66410	second degree perineal laceration unspecified as to episode of care or not applicable
66411	second degree perineal laceration delivered with or without mention of antepartum condition
66414	second degree perineal laceration postpartum condition or complication
66420	third degree perineal laceration unspecified as to episode of care or not applicable
66421	third degree perineal laceration delivered with or without mention of antepartum condition
66424	third degree perineal laceration postpartum condition or complication
66430	fourth degree perineal laceration unspecified as to episode of care or not applicable
66431	fourth degree perineal laceration delivered with or without mention of antepartum condition
66434	fourth degree perineal laceration postpartum condition or complication
66440	unspecified perineal laceration unspecified as to episode of care or not applicable
66441	unspecified perineal laceration delivered with or without mention of antepartum condition
66444	unspecified perineal laceration postpartum condition or complication
66450	vulvar and perineal hematoma unspecified as to episode of care or not applicable
66451	vulvar and perineal hematoma delivered with or without mention of antepartum condition
66454	vulvar and perineal hematoma postpartum condition or complication
66460	anal sphincter tear complicating delivery not associated with third degree perineal laceration unspecified as to episode of care or not applicable
66461	anal sphincter tear complicating delivery not associated with third degree perineal laceration delivered with or without mention of antepartum condition
66464	anal sphincter tear complicating delivery not associated with third degree perineal laceration postpartum condition or complication
66480	other specified trauma to perineum and vulva unspecified as to episode of care or not applicable
66481	other specified trauma to perineum and vulva delivered with or without mention of antepartum condition
66484	other specified trauma to perineum and vulva postpartum condition or complication
66490	unspecified trauma to perineum and vulva unspecified as to episode of care or not applicable
66491	unspecified trauma to perineum and vulva delivered with or without mention of antepartum condition
66494	unspecified trauma to perineum and vulva postpartum condition or complication
66500	rupture of uterus before onset of labor unspecified as to episode of care or not applicable
66501	rupture of uterus before onset of labor delivered with or without mention of antepartum condition
66503	rupture of uterus before onset of labor antepartum condition or complication
66510	rupture of uterus during labor unspecified as to episode of care or not applicable
66511	rupture of uterus during labor delivered with or without mention of antepartum condition
66520	inversion of uterus unspecified as to episode of care or not applicable
66522	inversion of uterus delivered with mention of postpartum complication
66524	inversion of uterus postpartum condition or complication
66530	laceration of cervix unspecified as to episode of care or not applicable
66531	laceration of cervix delivered with or without mention of antepartum condition
66534	laceration of cervix postpartum condition or complication
66540	high vaginal laceration unspecified as to episode of care or not applicable
66541	high vaginal laceration delivered with or without mention of antepartum condition
66544	high vaginal laceration postpartum condition or complication
66550	other injury to pelvic organs unspecified as to episode of care or not applicable
66551	other injury to pelvic organs delivered with or without mention of antepartum condition
66554	other injury to pelvic organs postpartum condition or complication
66560	damage to pelvic joints and ligaments unspecified as to episode of care or not applicable
66561	damage to pelvic joints and ligaments delivered with or without mention of antepartum condition
66564	damage to pelvic joints and ligaments postpartum condition or complication
66570	pelvic hematoma unspecified as to episode of care or not applicable
66571	pelvic hematoma delivered with or without mention of antepartum condition
66572	pelvic hematoma delivered with mention of postpartum complication
66574	pelvic hematoma postpartum condition or complication
66580	other specified obstetrical trauma unspecified as to episode of care or not applicable
66581	other specified obstetrical trauma delivered with or without mention of antepartum condition
66582	other specified obstetrical trauma delivered with mention of postpartum complication
66583	other specified obstetrical trauma antepartum condition or complication
66584	other specified obstetrical trauma postpartum condition or complication
66590	unspecified obstetrical trauma unspecified as to episode of care or not applicable
66591	unspecified obstetrical trauma delivered with or without mention of antepartum condition
66592	unspecified obstetrical trauma delivered with mention of postpartum complication
66593	unspecified obstetrical trauma antepartum condition or complication
66594	unspecified obstetrical trauma postpartum condition or complication
66600	third stage postpartum hemorrhage unspecified as to episode of care or not applicable
66602	third stage postpartum hemorrhage delivered with mention of postpartum complication
66604	third stage postpartum hemorrhage postpartum condition or complication
66610	other immediate postpartum hemorrhage unspecified as to episode of care or not applicable
66612	other immediate postpartum hemorrhage delivered with mention of postpartum complication
66614	other immediate postpartum hemorrhage postpartum condition or complication
66620	delayed and secondary postpartum hemorrhage unspecified as to episode of care or not applicable
66622	delayed and secondary postpartum hemorrhage delivered with mention of postpartum complication
66624	delayed and secondary postpartum hemorrhage postpartum condition or complication
66630	postpartum coagulation defects unspecified as to episode of care or not applicable
66632	postpartum coagulation defects delivered with mention of postpartum complication
66634	postpartum coagulation defects postpartum condition or complication
66700	retained placenta without hemorrhage unspecified as to episode of care or not applicable
66702	retained placenta without hemorrhage delivered with mention of postpartum complication
66704	retained placenta without hemorrhage postpartum condition or complication
66710	retained portions of placenta or membranes without hemorrhage unspecified as to episode of care or not applicable
66712	retained portions of placenta or membranes without hemorrhage delivered with mention of postpartum complication
66714	retained portions of placenta or membranes without hemorrhage postpartum condition or complication
66800	pulmonary complications of anesthesia or other sedation in labor and delivery unspecified as to episode of care or not applicable
66801	pulmonary complications of anesthesia or other sedation in labor and delivery delivered with or without mention of antepartum condition
66802	pulmonary complications of anesthesia or other sedation in labor and delivery delivered with mention of postpartum complication
66803	pulmonary complications of anesthesia or other sedation in labor and delivery antepartum condition or complication
66804	pulmonary complications of anesthesia or other sedation in labor and delivery postpartum condition or complication
66810	cardiac complications of anesthesia or other sedation in labor and delivery unspecified as to episode of care or not applicable
66811	cardiac complications of anesthesia or other sedation in labor and delivery delivered with or without mention of antepartum condition
66812	cardiac complications of anesthesia or other sedation in labor and delivery delivered with mention of postpartum complication
66813	cardiac complications of anesthesia or other sedation in labor and delivery antepartum condition or complication
66814	cardiac complications of anesthesia or other sedation in labor and delivery postpartum condition or complication
66820	central nervous system complications of anesthesia or other sedation in labor and delivery unspecified as to episode of care or not applicable
66821	central nervous system complications of anesthesia or other sedation in labor and delivery delivered with or without mention of antepartum condition
66822	central nervous system complications of anesthesia or other sedation in labor and delivery delivered with mention of postpartum complication
66823	central nervous system complications of anesthesia or other sedation in labor and delivery antepartum condition or complication
66824	central nervous system complications of anesthesia or other sedation in labor and delivery postpartum condition or complication
66880	other complications of anesthesia or other sedation in labor and delivery unspecified as to episode of care or not applicable
66881	other complications of anesthesia or other sedation in labor and delivery delivered with or without mention of antepartum condition
66882	other complications of anesthesia or other sedation in labor and delivery delivered with mention of postpartum complication
66883	other complications of anesthesia or other sedation in labor and delivery antepartum condition or complication
66884	other complications of anesthesia or other sedation in labor and delivery postpartum condition or complication
66890	unspecified complication of anesthesia and other sedation in labor and delivery unspecified as to episode of care or not applicable
66891	unspecified complication of anesthesia and other sedation in labor and delivery delivered with or without mention of antepartum condition
66892	unspecified complication of anesthesia and other sedation in labor and delivery delivered with mention of postpartum complication
66893	unspecified complication of anesthesia and other sedation in labor and delivery antepartum condition or complication
66894	unspecified complication of anesthesia and other sedation in labor and delivery postpartum condition or complication
66900	maternal distress complicating labor and delivery unspecified as to episode of care or not applicable
66901	maternal distress complicating labor and delivery delivered with or without mention of antepartum condition
66902	maternal distress complicating labor and delivery delivered with mention of postpartum complication
66903	maternal distress complicating labor and delivery antepartum condition or complication
66904	maternal distress complicating labor and delivery postpartum condition or complication
66910	shock during or following labor and delivery unspecified as to episode of care or not applicable
66911	shock during or following labor and delivery delivered with or without mention of antepartum condition
66912	shock during or following labor and delivery delivered with mention of postpartum complication
66913	shock during or following labor and delivery antepartum condition or complication
66914	shock during or following labor and delivery postpartum condition or complication
66920	maternal hypotension syndrome unspecified as to episode of care or not applicable
66921	maternal hypotension syndrome delivered with or without mention of antepartum condition
66922	maternal hypotension syndrome delivered with mention of postpartum complication
66923	maternal hypotension syndrome antepartum condition or complication
66924	maternal hypotension syndrome postpartum condition or complication
66930	acute kidney failure following labor and delivery unspecified as to episode of care or not applicable
66932	acute kidney failure following labor and delivery delivered with mention of postpartum complication
66934	acute kidney failure following labor and delivery postpartum condition or complication
66940	other complications of obstetrical surgery and procedures unspecified as to episode of care or not applicable
66941	other complications of obstetrical surgery and procedures delivered with or without mention of antepartum condition
66942	other complications of obstetrical surgery and procedures delivered with mention of postpartum complication
66943	other complications of obstetrical surgery and procedures antepartum condition or complication
66944	other complications of obstetrical surgery and procedures postpartum condition or complication
66950	forceps or vacuum extractor delivery without mention of indication unspecified as to episode of care or not applicable
66951	forceps or vacuum extractor delivery without mention of indication delivered with or without mention of antepartum condition
66960	breech extraction without mention of indication unspecified as to episode of care or not applicable
66961	breech extraction without mention of indication delivered with or without mention of antepartum condition
66970	cesarean delivery without mention of indication unspecified as to episode of care or not applicable
66971	cesarean delivery without mention of indication delivered with or without mention of antepartum condition
66980	other complications of labor and delivery unspecified as to episode of care or not applicable
66981	other complications of labor and delivery delivered with or without mention of antepartum condition
66982	other complications of labor and delivery delivered with mention of postpartum complication
66983	other complications of labor and delivery antepartum condition or complication
66984	other complications of labor and delivery postpartum condition or complication
66990	unspecified complication of labor and delivery unspecified as to episode of care or not applicable
66991	unspecified complication of labor and delivery delivered with or without mention of antepartum condition
66992	unspecified complication of labor and delivery delivered with mention of postpartum complication
66993	unspecified complication of labor and delivery antepartum condition or complication
66994	unspecified complication of labor and delivery postpartum condition or complication
67000	major puerperal infection unspecified as to episode of care or not applicable
67002	major puerperal infection delivered with mention of postpartum complication
67004	major puerperal infection postpartum condition or complication
67010	puerperal endometritis unspecified as to episode of care or not applicable
67012	puerperal endometritis delivered with mention of postpartum complication
67014	puerperal endometritis postpartum condition or complication
67020	puerperal sepsis unspecified as to episode of care or not applicable
67022	puerperal sepsis delivered with mention of postpartum complication
67024	puerperal sepsis postpartum condition or complication
67030	puerperal septic thrombophlebitis unspecified as to episode of care or not applicable
67032	puerperal septic thrombophlebitis delivered with mention of postpartum complication
67034	puerperal septic thrombophlebitis postpartum condition or complication
67080	other major puerperal infection unspecified as to episode of care or not applicable
67082	other major puerperal infection delivered with mention of postpartum complication
67084	other major puerperal infection postpartum condition or complication
67100	varicose veins of legs complicating pregnancy and the puerperium unspecified as to episode of care or not applicable
67101	varicose veins of legs complicating pregnancy and the puerperium delivered with or without mention of antepartum condition
67102	varicose veins of legs complicating pregnancy and the puerperium delivered with mention of postpartum complication
67103	varicose veins of legs complicating pregnancy and the puerperium antepartum condition or complication
67104	varicose veins of legs complicating pregnancy and the puerperium postpartum condition or complication
67110	varicose veins of vulva and perineum complicating pregnancy and the puerperium unspecified as to episode of care or not applicable
67111	varicose veins of vulva and perineum complicating pregnancy and the puerperium delivered with or without mention of antepartum condition
67112	varicose veins of vulva and perineum complicating pregnancy and the puerperium delivered with mention of postpartum complication
67113	varicose veins of vulva and perineum complicating pregnancy and the puerperium antepartum condition or complication
67114	varicose veins of vulva and perineum complicating pregnancy and the puerperium postpartum condition or complication
67120	superficial thrombophlebitis complicating pregnancy and the puerperium unspecified as to episode of care or not applicable
67121	superficial thrombophlebitis complicating pregnancy and the puerperium delivered with or without mention of antepartum condition
67122	superficial thrombophlebitis complicating pregnancy and the puerperium delivered with mention of postpartum complication
67123	superficial thrombophlebitis complicating pregnancy and the puerperium antepartum condition or complication
67124	superficial thrombophlebitis complicating pregnancy and the puerperium postpartum condition or complication
67130	deep phlebothrombosis antepartum unspecified as to episode of care or not applicable
67131	deep phlebothrombosis antepartum delivered with or without mention of antepartum condition
67133	deep phlebothrombosis antepartum antepartum condition or complication
67140	deep phlebothrombosis postpartum unspecified as to episode of care or not applicable
67142	deep phlebothrombosis postpartum delivered with mention of postpartum complication
67144	deep phlebothrombosis postpartum postpartum condition or complication
67150	other phlebitis and thrombosis complicating pregnancy and the puerperium unspecified as to episode of care or not applicable
67151	other phlebitis and thrombosis complicating pregnancy and the puerperium delivered with or without mention of antepartum condition
67152	other phlebitis and thrombosis complicating pregnancy and the puerperium delivered with mention of postpartum complication
67153	other phlebitis and thrombosis complicating pregnancy and the puerperium antepartum condition or complication
67154	other phlebitis and thrombosis complicating pregnancy and the puerperium postpartum condition or complication
67180	other venous complications of pregnancy and the puerperium unspecified as to episode of care or not applicable
67181	other venous complications of pregnancy and the puerperium delivered with or without mention of antepartum condition
67182	other venous complications of pregnancy and the puerperium delivered with mention of postpartum complication
67183	other venous complications of pregnancy and the puerperium antepartum condition or complication
67184	other venous complications of pregnancy and the puerperium postpartum condition or complication
67190	unspecified venous complication of pregnancy and the puerperium unspecified as to episode of care or not applicable
67191	unspecified venous complication of pregnancy and the puerperium delivered with or without mention of antepartum condition
67192	unspecified venous complication of pregnancy and the puerperium delivered with mention of postpartum complication
67193	unspecified venous complication of pregnancy and the puerperium antepartum condition or complication
67194	unspecified venous complication of pregnancy and the puerperium postpartum condition or complication
67200	pyrexia of unknown origin during the puerperium unspecified as to episode of care or not applicable
67202	pyrexia of unknown origin during the puerperium delivered with mention of postpartum complication
67204	pyrexia of unknown origin during the puerperium postpartum condition or complication
67300	obstetrical air embolism unspecified as to episode of care or not applicable
67301	obstetrical air embolism delivered with or without mention of antepartum condition
67302	obstetrical air embolism delivered with mention of postpartum complication
67303	obstetrical air embolism antepartum condition or complication
67304	obstetrical air embolism postpartum condition or complication
67310	amniotic fluid embolism unspecified as to episode of care or not applicable
67311	amniotic fluid embolism delivered with or without mention of antepartum condition
67312	amniotic fluid embolism delivered with mention of postpartum complication
67313	amniotic fluid embolism antepartum condition or complication
67314	amniotic fluid embolism postpartum condition or complication
67320	obstetrical blood clot embolism unspecified as to episode of care or not applicable
67321	obstetrical blood clot embolism delivered with or without mention of antepartum condition
67322	obstetrical blood clot embolism delivered with mention of postpartum complication
67323	obstetrical blood clot embolism antepartum condition or complication
67324	obstetrical blood clot embolism postpartum condition or complication
67330	obstetrical pyemic and septic embolism unspecified as to episode of care or not applicable
67331	obstetrical pyemic and septic embolism delivered with or without mention of antepartum condition
67332	obstetrical pyemic and septic embolism delivered with mention of postpartum complication
67333	obstetrical pyemic and septic embolism antepartum condition or complication
67334	obstetrical pyemic and septic embolism postpartum condition or complication
67380	other obstetrical pulmonary embolism unspecified as to episode of care or not applicable
67381	other obstetrical pulmonary embolism delivered with or without mention of antepartum condition
67382	other obstetrical pulmonary embolism delivered with mention of postpartum complication
67383	other obstetrical pulmonary embolism antepartum condition or complication
67384	other obstetrical pulmonary embolism postpartum condition or complication
67400	cerebrovascular disorders in the puerperium unspecified as to episode of care or not applicable
67401	cerebrovascular disorders in the puerperium delivered with or without mention of antepartum condition
67402	cerebrovascular disorders in the puerperium delivered with mention of postpartum complication
67403	cerebrovascular disorders in the puerperium antepartum condition or complication
67404	cerebrovascular disorders in the puerperium postpartum condition or complication
67410	disruption of cesarean wound unspecified as to episode of care or not applicable
67412	disruption of cesarean wound delivered with mention of postpartum complication
67414	disruption of cesarean wound postpartum condition or complication
67420	disruption of perineal wound unspecified as to episode of care or not applicable
67422	disruption of perineal wound delivered with mention of postpartum complication
67424	disruption of perineal wound postpartum condition or complication
67430	other complications of obstetrical surgical wounds unspecified as to episode of care or not applicable
67432	other complications of obstetrical surgical wounds delivered with mention of postpartum complication
67434	other complications of obstetrical surgical wounds postpartum condition or complication
67440	placental polyp unspecified as to episode of care or not applicable
67442	placental polyp delivered with mention of postpartum complication
67444	placental polyp postpartum condition or complication
67450	peripartum cardiomyopathy unspecified as to episode of care or not applicable
67451	peripartum cardiomyopathy delivered with or without mention of antepartum condition
67452	peripartum cardiomyopathy delivered with mention of postpartum condition
67453	peripartum cardiomyopathy antepartum condition or complication
67454	peripartum cardiomyopathy postpartum condition or complication
67480	other complications of puerperium unspecified as to episode of care or not applicable
67482	other complications of puerperium delivered with mention of postpartum complication
67484	other complications of puerperium postpartum condition or complication
67490	unspecified complications of puerperium unspecified as to episode of care or not applicable
67492	unspecified complications of puerperium delivered with mention of postpartum complication
67494	unspecified complications of puerperium postpartum condition or complication
67500	infections of nipple associated with childbirth unspecified as to episode of care or not applicable
67501	infections of nipple associated with childbirth delivered with or without mention of antepartum condition
67502	infections of nipple associated with childbirth delivered with mention of postpartum complication
67503	infections of nipple associated with childbirth antepartum condition or complication
67504	infections of nipple associated with childbirth postpartum condition or complication
67510	abscess of breast associated with childbirth unspecified as to episode of care or not applicable
67511	abscess of breast associated with childbirth delivered with or without mention of antepartum condition
67512	abscess of breast associated with childbirth delivered with mention of postpartum complication
67513	abscess of breast associated with childbirth antepartum condition or complication
67514	abscess of breast associated with childbirth postpartum condition or complication
67520	nonpurulent mastitis associated with childbirth unspecified as to episode of care or not applicable
67521	nonpurulent mastitis associated with childbirth delivered with or without mention of antepartum condition
67522	nonpurulent mastitis associated with childbirth delivered with mention of postpartum complication
67523	nonpurulent mastitis associated with childbirth antepartum condition or complication
67524	nonpurulent mastitis associated with childbirth postpartum condition or complication
67580	other specified infections of the breast and nipple associated with childbirth unspecified as to episode of care or not applicable
67581	other specified infections of the breast and nipple associated with childbirth delivered with or without mention of antepartum condition
67582	other specified infections of the breast and nipple associated with childbirth delivered with mention of postpartum complication
67583	other specified infections of the breast and nipple associated with childbirth antepartum condition or complication
67584	other specified infections of the breast and nipple associated with childbirth postpartum condition or complication
67590	unspecified infection of the breast and nipple associated with childbirth unspecified as to episode of care or not applicable
67591	unspecified infection of the breast and nipple associated with childbirth delivered with or without mention of antepartum condition
67592	unspecified infection of the breast and nipple associated with childbirth delivered with mention of postpartum complication
67593	unspecified infection of the breast and nipple associated with childbirth antepartum condition or complication
67594	unspecified infection of the breast and nipple associated with childbirth postpartum condition or complication
67600	retracted nipple associated with childbirth unspecified as to episode of care or not applicable
67601	retracted nipple associated with childbirth delivered with or without mention of antepartum condition
67602	retracted nipple associated with childbirth delivered with mention of postpartum complication
67603	retracted nipple associated with childbirth antepartum condition or complication
67604	retracted nipple associated with childbirth postpartum condition or complication
67610	cracked nipple associated with childbirth unspecified as to episode of care or not applicable
67611	cracked nipple associated with childbirth delivered with or without mention of antepartum condition
67612	cracked nipple associated with childbirth delivered with mention of postpartum complication
67613	cracked nipple associated with childbirth antepartum condition or complication
67614	cracked nipple associated with childbirth postpartum condition or complication
67620	engorgement of breasts associated with childbirth unspecified as to episode of care or not applicable
67621	engorgement of breasts associated with childbirth delivered with or without mention of antepartum condition
67622	engorgement of breasts associated with childbirth delivered with mention of postpartum complication
67623	engorgement of breasts associated with childbirth antepartum condition or complication
67624	engorgement of breasts associated with childbirth postpartum condition or complication
67630	other and unspecified disorder of breast associated with childbirth unspecified as to episode of care or not applicable
67631	other and unspecified disorder of breast associated with childbirth delivered with or without mention of antepartum condition
67632	other and unspecified disorder of breast associated with childbirth delivered with mention of postpartum complication
67633	other and unspecified disorder of breast associated with childbirth antepartum condition or complication
67634	other and unspecified disorder of breast associated with childbirth postpartum condition or complication
67640	failure of lactation unspecified as to episode of care or not applicable
67641	failure of lactation delivered with or without mention of antepartum condition
67642	failure of lactation delivered with mention of postpartum complication
67643	failure of lactation antepartum condition or complication
67644	failure of lactation postpartum condition or complication
67650	suppressed lactation unspecified as to episode of care or not applicable
67651	suppressed lactation delivered with or without mention of antepartum condition
67652	suppressed lactation delivered with mention of postpartum complication
67653	suppressed lactation antepartum condition or complication
67654	suppressed lactation postpartum condition or complication
67660	galactorrhea associated with childbirth unspecified as to episode of care or not applicable
67661	galactorrhea associated with childbirth delivered with or without mention of antepartum condition
67662	galactorrhea associated with childbirth delivered with mention of postpartum complication
67663	galactorrhea associated with childbirth antepartum condition or complication
67664	galactorrhea associated with childbirth postpartum condition or complication
67680	other disorders of lactation unspecified as to episode of care or not applicable
67681	other disorders of lactation delivered with or without mention of antepartum condition
67682	other disorders of lactation delivered with mention of postpartum complication
67683	other disorders of lactation antepartum condition or complication
67684	other disorders of lactation postpartum condition or complication
67690	unspecified disorder of lactation unspecified as to episode of care or not applicable
67691	unspecified disorder of lactation delivered with or without mention of antepartum condition
67692	unspecified disorder of lactation delivered with mention of postpartum complication
67693	unspecified disorder of lactation antepartum condition or complication
67694	unspecified disorder of lactation postpartum condition or complication
677	late effect of complication of pregnancy childbirth and the puerperium
67800	fetal hematologic conditions unspecified as to episode of care or not applicable
67801	fetal hematologic conditions delivered with or without mention of antepartum condition
